Ingreso_Exportacion_USD,Gasto_Insumos_Importados_USD,Periodo_Contable
2180.573984750967,1149.2768806280662,2025-03-03
2261.1778691913246,1271.465989243369,2025-03-04
2203.657416275651,1213.6984658363933,2025-03-05
1970.5305848555033,1111.1705103180639,2025-03-06
2313.015842063322,1265.8203545890226,2025-03-07
1994.0828082566918,1137.0782847729351,2025-03-08
2117.572859752312,1390.6089088246122,2025-03-09
2158.5912922030084,1179.150617650184,2025-03-10
2198.5798805211775,1193.8186041565386,2025-03-11
2074.5339673596823,1407.6518819472985,2025-03-12
2152.5373213877497,1291.617003272507,2025-03-13
1849.5118859704435,1157.7587213411957,2025-03-14
2175.354827131804,1394.3056488784537,2025-03-15
1829.1810855195447,1108.3748745618327,2025-03-16
2102.826897899608,1473.9922748564657,2025-03-17
2109.646746769156,1309.2284686994262,2025-03-18
2325.2544481213326,1272.5996190404674,2025-03-19
2150.1430601816364,1407.5714968100833,2025-03-20
1968.202132956466,1226.694122151003,2025-03-21
1985.278117670606,1309.9121885573286,2025-03-22
2250.1334514131877,1317.577206001139,2025-03-23
1830.3217543568753,1261.2815993783274,2025-03-24
1898.6599143969947,1277.5948333761664,2025-03-25
2041.4913418060064,1194.452011067392,2025-03-26
1859.0061925532523,1113.2309531960748,2025-03-27
2215.6617989218666,1359.8723204194916,2025-03-28
1843.322346083495,1131.8177077650207,2025-03-29
2181.4160751415748,1506.0026835241474,2025-03-30
2049.8917205341413,1221.6709427585515,2025-03-31
1804.441897137878,1149.019038189658,2025-04-01
2220.4419512959075,1320.611110969113,2025-04-02
2128.583941532638,1170.558529692808,2025-04-03
2129.6174962003133,1166.891977374307,2025-04-04
2116.768656234637,1352.6594583324566,2025-04-05
2288.1346653926767,1238.4808311194636,2025-04-06
1992.4816097307453,1104.2226170650176,2025-04-07
2205.7763165073343,1392.1623425740986,2025-04-08
2253.4073570546025,1439.5628964238642,2025-04-09
2181.943793125067,1334.084658986062,2025-04-10
1974.7258648577713,1261.5877295595858,2025-04-11
2142.13905397134,1222.3043238250143,2025-04-12
1855.070274362036,1041.4168125462795,2025-04-13
1844.4382840169374,1266.543717619658,2025-04-14
1849.9284837989553,1168.299019479984,2025-04-15
2236.8757091774546,1217.0841795988526,2025-04-16
2079.5090533538046,1428.5927574836846,2025-04-17
2085.218654638617,1337.2039054029774,2025-04-18
2088.1065558630735,1332.4393912185246,2025-04-19
2138.4151047512705,1402.5537878261825,2025-04-20
1991.5822795622344,1161.1648900044506,2025-04-21
2154.6377743119842,1292.1453504732656,2025-04-22
2178.328284883233,1351.9674583763388,2025-04-23
1941.9376332167492,1169.910312505682,2025-04-24
2119.9263183168814,1444.3540882987168,2025-04-25
2317.0513057776766,1302.1486963033724,2025-04-26
1934.755554813405,1275.1729243537845,2025-04-27
2184.8222521680004,1378.1046956719626,2025-04-28
2133.711817591856,1213.0042593357566,2025-04-29
2247.078043073731,1256.2821066100282,2025-04-30
2196.7168865161693,1245.5626559206814,2025-05-01
2034.620254432367,1071.2528674933453,2025-05-02
2001.2708762301788,1362.6304078145865,2025-05-03
2092.6224148448277,1176.1368997468712,2025-05-04
2315.715082645333,1313.8960126926434,2025-05-05
2194.7840663111183,1162.0939957000762,2025-05-06
2062.2891257464357,1295.4155183730593,2025-05-07
1984.0657790744742,1337.8866232225728,2025-05-08
2147.7613530102226,1362.7916137759885,2025-05-09
2204.019623559973,1120.9830187912094,2025-05-10
2070.1712808417583,1276.9535054803257,2025-05-11
2382.0730627773814,1353.5032253788488,2025-05-12
2130.659169512229,1157.838162768067,2025-05-13
1927.7813395525577,1318.4717443156135,2025-05-14
2296.8865908331018,1383.2709658798044,2025-05-15
2126.1815957611752,1236.7953829529783,2025-05-16
2161.122008580604,1372.4513711010047,2025-05-17
2051.939213746576,1337.2562584529132,2025-05-18
1928.3627846462475,1206.4002503209638,2025-05-19
2103.2867923760923,1219.1109234307596,2025-05-20
1990.9290847443322,1265.489139690771,2025-05-21
1957.792047199166,1196.0030928218887,2025-05-22
2029.1400261158406,1173.1496730339702,2025-05-23
2030.5354748963607,1311.4288003017423,2025-05-24
1980.6119465838328,1273.4026589575456,2025-05-25
1881.2889732077535,1223.8288488357546,2025-05-26
2272.3823360387964,1368.2832286983275,2025-05-27
2073.699597606287,1330.385216438056,2025-05-28
1930.4842683323068,1297.1749539127568,2025-05-29
2051.2221794634006,1416.4245626216175,2025-05-30
2293.4824932376396,1347.6701280447098,2025-05-31
1824.841679382302,1026.6224480183878,2025-06-01
2406.694604461261,1403.9297491548568,2025-06-02
2100.728240420878,1265.7884744811865,2025-06-03
1912.1164765954213,1292.750817629377,2025-06-04
1920.1469537997339,1209.2888250408992,2025-06-05
2015.2479580328115,1164.5726813496815,2025-06-06
2089.5214211358475,1151.2086702936144,2025-06-07
2071.8267109955873,1194.048806467688,2025-06-08
2098.0418187509763,1246.0238704986039,2025-06-09
2067.74671568524,1184.0445039846013,2025-06-10
1845.6785457151723,1239.3162695970511,2025-06-11
2104.87813917654,1403.1928075349588,2025-06-12
2056.981261763427,1319.996937931782,2025-06-13
1884.9116735063558,1079.4081556963847,2025-06-14
2082.2760432219548,1210.7682488781581,2025-06-15
2021.966011486167,1243.431518587696,2025-06-16
2218.654517363692,1245.8617908182339,2025-06-17
2023.100308200374,1268.6775774667456,2025-06-18
2034.4799615429545,1240.8475394857965,2025-06-19
2316.7694271371374,1254.483929236952,2025-06-20
2196.1562448965087,1361.0531668270198,2025-06-21
2336.8069815370327,1253.2485646346954,2025-06-22
2243.226732119078,1355.8995644203467,2025-06-23
1991.249335161872,1112.2272798835534,2025-06-24
1908.2602203689546,1128.50645604765,2025-06-25
2007.7664545091745,1254.4379270447894,2025-06-26
1904.7334159932059,1122.161587611415,2025-06-27
2156.72020246922,1389.702708978889,2025-06-28
2323.482223982695,1304.7163005327736,2025-06-29
1835.1712931831835,1166.2369216005377,2025-06-30
1809.6151745477316,1240.250348491953,2025-07-01
1874.6491225888728,1121.4925373048789,2025-07-02
2277.655388826021,1195.2490487223977,2025-07-03
1900.3179761244753,1084.3402768795102,2025-07-04
1862.2431237456892,1347.526038098737,2025-07-05
1953.4083611207336,1104.5816487291866,2025-07-06
2201.22007208001,1375.8080150554988,2025-07-07
2244.7134518816074,1302.0525179287667,2025-07-08
2321.64062119778,1357.4390305073323,2025-07-09
1909.9119291818,1264.406192201656,2025-07-10
2223.2451595790194,1500.3679059916099,2025-07-11
2215.5996265342023,1439.1354730721669,2025-07-12
2174.743948663143,1418.9321402966561,2025-07-13
2085.898180879041,1317.4203717480273,2025-07-14
2112.628390622339,1295.6773219377374,2025-07-15
2004.287257725617,1304.9266679472842,2025-07-16
2232.606725094789,1235.9466367783994,2025-07-17
1931.3819634951685,1103.870852825041,2025-07-18
1834.916240506153,1146.0244972803862,2025-07-19
