fecha,temperatura,precipitacion,humedad,radiacion_solar
2023-03-20,31.02,18.23,80.91,210.5
2023-03-21,28.95,11.53,74.33,202.74
2023-03-22,30.73,20.76,76.33,206.63
2023-03-23,31.31,18.6,75.45,191.66
2023-03-24,32.44,11.42,80.98,206.75
2023-03-25,30.45,12.88,77.1,197.0
2023-03-26,30.17,9.49,79.47,194.99
2023-03-27,30.48,13.8,71.79,206.97
2023-03-28,31.9,18.21,76.91,218.23
2023-03-29,31.32,7.82,78.64,212.63
2023-03-30,30.47,14.59,76.08,186.88
2023-03-31,31.51,8.73,78.89,191.83
2023-04-01,31.1,6.73,74.0,210.27
2023-04-02,31.97,9.46,79.63,190.18
2023-04-03,30.3,4.13,82.15,196.89
2023-04-04,30.67,5.85,74.02,203.77
2023-04-05,30.6,1.94,73.62,187.73
2023-04-06,29.53,17.07,79.17,197.6
2023-04-07,31.28,6.74,79.4,182.35
2023-04-08,31.24,2.39,72.94,188.82
2023-04-09,30.98,6.28,73.09,197.17
2023-04-10,30.74,3.98,73.35,177.19
2023-04-11,29.55,2.78,70.0,196.67
2023-04-12,30.53,6.3,71.12,191.22
2023-04-13,30.6,6.37,70.71,196.09
2023-04-14,30.13,0.7,71.25,191.96
2023-04-15,30.76,1.56,73.29,202.52
2023-04-16,31.32,0.67,73.93,189.29
2023-04-17,32.79,11.41,77.72,182.9
2023-04-18,31.06,8.07,69.91,187.59
2023-04-19,31.13,5.76,75.69,190.97
2023-04-20,30.78,6.58,71.93,185.2
2023-04-21,28.92,3.44,72.26,184.3
2023-04-22,30.8,0.14,74.26,176.06
2023-04-23,30.87,1.71,68.7,175.64
2023-04-24,33.25,11.62,73.05,167.44
2023-04-25,30.57,1.33,72.23,198.16
2023-04-26,31.05,5.38,73.04,167.44
2023-04-27,30.69,9.97,72.26,172.16
2023-04-28,29.53,13.67,78.58,171.12
2023-04-29,31.82,5.04,69.13,186.48
2023-04-30,31.41,10.24,69.28,173.81
2023-05-01,31.42,13.95,68.83,188.48
2023-05-02,29.7,10.44,68.86,168.51
2023-05-03,31.98,12.95,68.44,177.29
2023-05-04,29.15,0.57,73.75,165.41
2023-05-05,31.11,3.76,74.27,194.49
2023-05-06,32.69,8.48,68.13,160.44
2023-05-07,29.48,1.3,67.17,174.69
2023-05-08,29.87,8.55,70.91,177.23
2023-05-09,30.51,13.45,67.67,174.33
2023-05-10,29.87,1.72,71.05,167.65
2023-05-11,28.79,6.8,69.59,167.53
2023-05-12,30.38,14.83,64.26,168.59
2023-05-13,29.22,10.71,73.28,166.02
2023-05-14,30.72,14.23,73.85,176.48
2023-05-15,29.29,16.84,66.46,188.31
2023-05-16,31.73,5.34,66.96,160.0
2023-05-17,29.36,0.45,68.81,151.25
2023-05-18,29.78,16.99,68.79,163.46
2023-05-19,30.88,7.16,69.59,189.54
2023-05-20,28.8,13.18,73.48,155.12
2023-05-21,30.22,12.29,66.75,178.97
2023-05-22,31.26,12.72,64.72,178.78
2023-05-23,28.3,13.96,62.82,155.92
2023-05-24,30.06,9.26,64.6,166.6
2023-05-25,30.09,13.49,66.53,176.66
2023-05-26,30.57,7.79,71.85,156.06
2023-05-27,28.51,9.19,64.75,157.31
2023-05-28,28.38,9.9,66.82,153.03
2023-05-29,30.18,12.98,65.94,148.22
2023-05-30,29.91,11.05,69.39,151.4
2023-05-31,29.82,4.09,73.25,145.2
2023-06-01,29.88,5.04,63.92,157.33
2023-06-02,28.81,12.09,63.89,148.86
2023-06-03,29.67,6.35,68.34,158.47
2023-06-04,29.69,2.7,67.11,140.17
2023-06-05,28.63,14.4,70.45,158.64
2023-06-06,31.17,2.92,66.51,163.29
2023-06-07,29.73,8.51,63.54,134.65
2023-06-08,28.02,1.89,66.24,157.97
2023-06-09,29.82,8.08,67.66,166.17
2023-06-10,28.14,12.8,66.65,141.47
2023-06-11,29.85,11.4,65.57,169.97
2023-06-12,30.17,2.5,67.11,157.14
2023-06-13,28.15,0.9,67.28,145.61
2023-06-14,29.88,6.17,67.79,151.84
2023-06-15,29.28,2.12,65.45,157.72
2023-06-16,29.64,8.8,62.88,152.65
2023-06-17,30.66,0.23,63.69,157.05
2023-06-18,28.47,5.35,66.74,142.25
2023-06-19,27.91,1.94,60.55,152.95
2023-06-20,27.73,2.19,63.98,136.93
2023-06-21,27.75,1.72,61.58,149.79
2023-06-22,28.44,1.31,62.72,141.7
2023-06-23,28.81,8.92,66.36,143.25
2023-06-24,28.69,1.66,62.98,162.84
2023-06-25,29.19,9.39,62.44,161.28
2023-06-26,28.32,0.24,58.11,156.36
2023-06-27,29.71,9.21,64.32,139.26
2023-06-28,27.94,14.45,63.91,146.96
2023-06-29,30.88,4.43,68.37,162.2
2023-06-30,28.73,4.64,60.85,151.45
2023-07-01,27.19,12.2,62.34,173.2
2023-07-02,26.93,8.98,62.33,153.93
2023-07-03,28.43,12.55,66.23,151.93
2023-07-04,27.67,8.36,61.12,146.94
2023-07-05,28.56,12.5,62.15,151.4
2023-07-06,28.27,11.97,63.06,148.59
2023-07-07,27.67,19.27,61.71,157.27
2023-07-08,26.84,15.39,59.73,159.83
2023-07-09,26.12,16.47,61.58,142.5
2023-07-10,27.14,13.39,64.14,137.16
2023-07-11,28.39,13.68,57.77,132.24
2023-07-12,27.7,14.61,61.18,155.82
2023-07-13,26.19,19.39,58.62,139.86
2023-07-14,27.56,15.95,64.24,129.54
2023-07-15,27.72,20.13,56.02,155.14
2023-07-16,26.4,29.67,58.86,176.38
2023-07-17,27.39,24.26,61.61,151.61
2023-07-18,27.24,18.86,65.13,160.28
2023-07-19,25.99,27.08,60.18,152.96
2023-07-20,27.44,19.6,58.67,151.41
2023-07-21,27.59,12.01,65.94,161.86
2023-07-22,28.07,17.7,55.91,150.05
2023-07-23,27.99,13.91,53.62,155.92
2023-07-24,25.51,22.01,61.5,156.78
2023-07-25,25.9,24.36,58.64,147.21
2023-07-26,27.31,33.12,57.06,164.15
2023-07-27,27.26,26.83,62.22,152.83
2023-07-28,27.21,24.54,60.81,147.39
2023-07-29,30.5,30.2,58.36,160.7
2023-07-30,27.18,15.4,56.2,146.74
2023-07-31,27.7,28.02,62.64,156.42
2023-08-01,27.47,31.06,61.96,156.46
2023-08-02,27.12,20.15,59.71,167.85
2023-08-03,26.11,33.59,65.54,162.18
2023-08-04,27.14,29.86,56.79,157.64
2023-08-05,25.57,26.37,55.42,166.54
2023-08-06,26.06,31.86,57.93,172.75
2023-08-07,25.77,40.29,59.88,164.93
2023-08-08,26.29,30.05,60.75,159.96
2023-08-09,28.48,30.57,59.31,147.26
2023-08-10,24.26,27.2,61.11,150.26
2023-08-11,26.78,25.39,56.32,158.4
2023-08-12,24.44,33.91,64.42,155.91
2023-08-13,25.54,25.57,59.87,160.7
2023-08-14,27.06,30.28,63.5,163.72
2023-08-15,26.0,27.58,61.21,169.04
2023-08-16,24.82,32.39,61.58,163.64
2023-08-17,25.15,31.67,61.96,169.82
2023-08-18,26.5,35.16,61.63,166.22
2023-08-19,25.06,27.38,62.26,146.45
2023-08-20,25.97,28.5,64.36,157.45
2023-08-21,25.77,24.87,61.01,166.05
2023-08-22,25.04,27.42,62.6,156.06
2023-08-23,27.8,31.39,60.26,174.82
2023-08-24,26.26,33.12,64.91,184.81
2023-08-25,23.57,24.53,58.62,182.38
2023-08-26,25.75,33.28,66.11,168.76
2023-08-27,24.87,35.48,60.65,186.5
2023-08-28,26.35,30.51,56.55,173.8
2023-08-29,24.68,37.55,61.3,169.66
2023-08-30,25.33,24.0,58.94,167.63
2023-08-31,25.92,21.32,63.58,171.48
2023-09-01,26.26,18.31,59.18,171.37
2023-09-02,24.17,34.32,59.88,177.71
2023-09-03,25.01,29.73,55.64,178.37
2023-09-04,24.85,25.78,60.03,177.56
2023-09-05,24.64,27.04,54.21,182.68
2023-09-06,27.04,19.57,56.82,190.99
2023-09-07,25.66,36.97,63.95,189.37
2023-09-08,23.97,24.91,64.12,165.82
2023-09-09,26.13,24.32,63.14,155.93
2023-09-10,27.32,26.89,59.06,191.61
2023-09-11,26.21,25.14,61.92,169.41
2023-09-12,23.64,23.32,62.16,181.65
2023-09-13,24.66,17.69,58.81,173.01
2023-09-14,26.4,23.43,66.9,167.52
2023-09-15,24.41,29.9,65.14,191.78
2023-09-16,25.54,26.63,61.96,194.79
2023-09-17,25.86,27.26,62.82,182.27
2023-09-18,24.15,16.12,63.49,162.96
2023-09-19,25.0,13.1,56.86,184.25
2023-09-20,21.81,16.78,62.36,194.48
2023-09-21,24.02,17.05,61.19,176.62
2023-09-22,24.78,21.59,60.36,194.1
2023-09-23,23.78,6.99,62.65,192.96
2023-09-24,26.65,22.43,69.02,199.77
2023-09-25,23.59,13.32,65.68,196.03
2023-09-26,24.57,11.3,62.18,185.96
2023-09-27,25.14,7.69,65.75,208.52
2023-09-28,26.45,3.79,68.37,195.83
2023-09-29,23.57,15.5,67.08,198.0
2023-09-30,26.16,11.06,64.63,189.8
2023-10-01,25.01,3.55,62.66,195.57
2023-10-02,24.02,2.83,66.84,192.02
2023-10-03,25.46,6.94,66.07,200.0
2023-10-04,25.2,16.28,67.73,219.71
2023-10-05,24.41,5.95,67.1,189.73
2023-10-06,25.08,0.95,68.49,188.17
2023-10-07,24.63,4.66,63.89,219.88
2023-10-08,25.14,3.85,69.6,203.93
2023-10-09,25.69,8.94,66.4,200.19
2023-10-10,26.62,3.61,72.19,218.14
2023-10-11,23.81,2.08,64.06,202.53
2023-10-12,27.19,6.07,71.49,227.7
2023-10-13,23.11,11.19,67.04,217.06
2023-10-14,24.92,6.96,64.65,206.25
2023-10-15,25.68,0.64,65.32,233.54
2023-10-16,25.38,5.43,65.97,206.74
2023-10-17,24.49,12.37,68.37,221.06
2023-10-18,24.92,0.78,68.83,217.46
2023-10-19,24.65,1.57,65.71,228.3
2023-10-20,24.57,2.32,67.52,231.72
2023-10-21,26.03,1.75,74.19,217.24
2023-10-22,25.55,3.98,73.11,210.2
2023-10-23,24.52,6.64,69.41,223.13
2023-10-24,26.13,7.0,68.38,212.56
2023-10-25,25.56,4.9,68.8,240.26
2023-10-26,26.09,7.91,70.45,222.28
2023-10-27,25.93,9.2,65.71,218.04
2023-10-28,24.49,5.53,68.18,224.32
2023-10-29,24.78,7.73,64.12,209.76
2023-10-30,26.12,0.68,70.5,214.28
2023-10-31,26.0,20.46,71.41,236.75
2023-11-01,25.4,2.09,68.19,218.93
2023-11-02,25.56,1.64,74.54,215.77
2023-11-03,26.75,18.53,66.31,232.33
2023-11-04,24.91,10.16,65.77,239.55
2023-11-05,26.08,10.56,71.01,235.59
2023-11-06,25.36,15.97,73.65,239.07
2023-11-07,25.37,13.03,75.73,222.24
2023-11-08,26.72,14.89,69.47,216.28
2023-11-09,26.48,0.74,74.26,246.19
2023-11-10,26.5,4.96,71.08,228.62
2023-11-11,27.03,3.4,70.85,230.0
2023-11-12,25.78,6.25,74.19,246.44
2023-11-13,26.47,15.57,73.66,239.36
2023-11-14,25.51,12.6,67.15,238.99
2023-11-15,26.18,7.55,76.47,256.7
2023-11-16,25.77,16.11,76.35,229.22
2023-11-17,26.03,6.41,70.51,245.54
2023-11-18,26.57,11.13,73.74,237.42
2023-11-19,25.19,11.73,74.2,240.11
2023-11-20,28.14,6.2,73.66,253.28
2023-11-21,25.08,7.42,71.4,243.63
2023-11-22,24.92,11.3,71.2,244.47
2023-11-23,27.33,3.54,73.3,250.35
2023-11-24,27.0,14.55,77.05,236.49
2023-11-25,26.88,5.85,75.33,232.26
2023-11-26,26.92,5.73,72.74,230.7
2023-11-27,26.33,9.99,76.33,221.97
2023-11-28,25.48,6.54,65.63,262.67
2023-11-29,26.5,14.12,77.77,231.53
2023-11-30,25.79,2.93,69.26,240.8
2023-12-01,27.49,8.13,73.55,240.68
2023-12-02,26.41,9.46,71.43,246.94
2023-12-03,25.78,1.21,71.06,252.43
2023-12-04,26.33,9.58,78.57,253.27
2023-12-05,27.11,12.68,73.83,239.22
2023-12-06,26.18,12.98,76.42,243.74
2023-12-07,25.97,1.71,75.39,248.6
2023-12-08,27.08,10.67,77.1,243.62
2023-12-09,27.13,5.0,76.04,262.51
2023-12-10,26.43,13.67,72.1,251.66
2023-12-11,26.51,5.74,79.08,254.4
2023-12-12,27.27,1.14,74.74,253.96
2023-12-13,25.63,2.13,71.69,259.34
2023-12-14,25.72,3.8,75.21,249.67
2023-12-15,26.46,1.5,81.12,235.14
2023-12-16,27.02,0.09,79.3,252.33
2023-12-17,27.59,6.22,75.83,242.03
2023-12-18,28.81,1.89,75.95,243.46
2023-12-19,28.24,2.7,76.16,254.79
2023-12-20,27.27,0.77,83.47,261.48
2023-12-21,27.47,2.95,78.51,249.47
2023-12-22,26.53,5.42,78.77,252.49
2023-12-23,27.57,4.0,80.68,266.55
2023-12-24,27.35,1.53,78.42,252.04
2023-12-25,28.01,9.6,77.03,275.75
2023-12-26,26.91,7.42,77.33,255.47
2023-12-27,28.31,6.33,77.81,232.27
2023-12-28,29.38,8.02,78.01,257.47
2023-12-29,27.79,10.36,80.41,253.78
2023-12-30,28.35,6.61,78.48,262.89
2023-12-31,28.69,6.11,80.61,256.73
